flightnumber,DepartureIATA,ArrivalIATA,AirlineIATA,flightdate
KM287854,EZE,CGK,KM,2023-01-01
MH719056,DXB,JNB,MH,2023-01-01
B6779869,SJO,HAM,B6,2023-01-01
AR030106,LAX,MEL,AR,2023-01-01
NZ061276,HAN,CWL,NZ,2023-01-01
AY164810,BCN,MUC,AY,2023-01-01
SV470169,AKL,BOG,SV,2023-01-01
KM060426,NAS,LAX,KM,2023-01-01
EW221958,HND,MUC,EW,2023-01-01
U2992335,MXP,BOM,U2,2023-01-01
AT631065,SYD,BHX,AT,2023-01-01
BA469005,BFS,MAN,BA,2023-01-01
KQ976664,HAN,HAV,KQ,2023-01-01
AT619110,MNL,WLG,AT,2023-01-01
TR589831,BCN,ATL,TR,2023-01-01
PC769242,LIS,LBA,PC,2023-01-01
H2968120,NCE,JNB,H2,2023-01-01
VS763155,PUJ,BFS,VS,2023-01-01
F9799526,BHX,PUJ,F9,2023-01-02
GF614736,BFS,CPH,GF,2023-01-02
AD434731,CWL,ORD,AD,2023-01-02
PC923900,CDG,BER,PC,2023-01-02
FZ896755,SIN,SYD,FZ,2023-01-02
FR180291,CWL,DUS,FR,2023-01-02
AC132275,HAM,BSL,AC,2023-01-02
AF098830,KIN,BRS,AF,2023-01-02
GF755539,BOM,ZRH,GF,2023-01-02
PC205390,SJO,BFS,PC,2023-01-02
H2989823,NBO,SGN,H2,2023-01-02
NK866608,VIE,BKK,NK,2023-01-02
TS411843,CPT,ORD,TS,2023-01-02
OS949293,GUA,BFS,OS,2023-01-02
VB963579,JNB,DUB,VB,2023-01-02
JL722169,HAJ,BSL,JL,2023-01-02
6E672853,KEF,LBA,6E,2023-01-02
B6932919,PUJ,MRS,B6,2023-01-02
U2903394,BER,LIS,U2,2023-01-02
Y4435179,BOD,ZRH,Y4,2023-01-02
FZ500648,BOD,NCE,FZ,2023-01-02
AD001247,BSB,KEF,AD,2023-01-02
KL273429,SJO,CGK,KL,2023-01-02
WY613828,NTE,WAW,WY,2023-01-02
VB126954,NTE,LEJ,VB,2023-01-02
QF496417,HND,PEK,QF,2023-01-02
TU180884,NCL,BOM,TU,2023-01-02
WN149759,DEN,CGK,WN,2023-01-03
LH763089,BOM,PEK,LH,2023-01-03
KC839835,NCE,LBA,KC,2023-01-03
AM699420,PUJ,FRA,AM,2023-01-03
AR862549,GVA,SIN,AR,2023-01-03
KL323936,CAI,CDG,KL,2023-01-03
GF565077,YYZ,BSL,GF,2023-01-03
SA544475,HAJ,DFW,SA,2023-01-03
AY638163,NTE,ICN,AY,2023-01-03
AY527457,HEL,LAX,AY,2023-01-03
GF224606,GLA,PEK,GF,2023-01-03
JL436316,BUD,NTE,JL,2023-01-03
SV257422,CGK,LEJ,SV,2023-01-03
OS700991,SIN,FCO,OS,2023-01-03
QR635560,BRS,HAV,QR,2023-01-03
TG656073,SGN,HKG,TG,2023-01-03
QF944476,CPH,BER,QF,2023-01-03
DL154423,CHC,MUC,DL,2023-01-03
EY409035,BCN,BER,EY,2023-01-03
TU422808,NTE,MUC,TU,2023-01-03
UK060330,STR,EZE,UK,2023-01-03
DT244205,WAW,MEL,DT,2023-01-03
A3248161,WAW,HEL,A3,2023-01-04
AD344640,OSL,WAW,AD,2023-01-04
TK941076,DOH,BSB,TK,2023-01-04
CZ243131,PTY,CDG,CZ,2023-01-04
AT884849,MEX,VIE,AT,2023-01-04
KU530841,CWL,ARN,KU,2023-01-04
SG647661,FCO,WLG,SG,2023-01-04
DL071850,EDI,CHC,DL,2023-01-04
EY103283,MEL,WLG,EY,2023-01-04
MK444688,GUA,MBJ,MK,2023-01-04
AC040095,MRS,GIG,AC,2023-01-04
RO860356,HAM,MAN,RO,2023-01-04
TK867423,DEL,SCL,TK,2023-01-04
VS409534,HKG,LBA,VS,2023-01-04
J2227661,ORD,ICN,J2,2023-01-04
RJ025546,BSL,HAV,RJ,2023-01-04
VB090001,CPH,DOH,VB,2023-01-04
AF680418,MXP,ORD,AF,2023-01-04
SQ143908,KIN,ATL,SQ,2023-01-04
EI471512,PTY,BSB,EI,2023-01-04
AR296977,BER,BOG,AR,2023-01-04
RO807992,ATH,WAW,RO,2023-01-04
AF508934,HEL,DOH,AF,2023-01-04
AS867295,POS,SYD,AS,2023-01-05
KM651891,BCN,SAL,KM,2023-01-05
KU564373,MBJ,DFW,KU,2023-01-05
PX301764,DXB,DUS,PX,2023-01-05
PR007507,MAN,STR,PR,2023-01-05
AS045844,LBA,ORD,AS,2023-01-05
TP984879,AKL,CHC,TP,2023-01-05
EK552184,ATH,BCN,EK,2023-01-05
AS513538,YYZ,NCL,AS,2023-01-05
JU491257,GLA,NCE,JU,2023-01-05
PX461208,CPH,GVA,PX,2023-01-05
SQ197666,MEL,GLA,SQ,2023-01-05
WS934948,POS,IST,WS,2023-01-05
NK159023,GRU,BRS,NK,2023-01-05
TS042551,PEK,HKG,TS,2023-01-05
IB149043,HND,SJO,IB,2023-01-05
H2083263,HKG,LYS,H2,2023-01-06
FJ802058,PUJ,GVA,FJ,2023-01-06
TU239483,GVA,OSL,TU,2023-01-06
AC672264,GVA,LIS,AC,2023-01-06
TK610227,NBO,CGN,TK,2023-01-06
AI446282,ICN,DOH,AI,2023-01-06
FR802752,HAM,CHC,FR,2023-01-06
TU382783,DOH,BHX,TU,2023-01-06
JU220157,LPL,SGN,JU,2023-01-06
AV509830,MAD,DFW,AV,2023-01-06
AR738510,AKL,BSB,AR,2023-01-06
VA479417,AMS,SIN,VA,2023-01-06
VN970710,OSL,GIG,VN,2023-01-06
AF745916,PRG,CPH,AF,2023-01-06
BA049459,EZE,BUD,BA,2023-01-06
JU875539,BKK,NBO,JU,2023-01-06
KQ017303,WLG,BHX,KQ,2023-01-06
A3294139,PRG,LPL,A3,2023-01-07
LA840472,EZE,MXP,LA,2023-01-07
J2729416,ATL,CAI,J2,2023-01-07
UK527919,NCL,MXP,UK,2023-01-07
CA276207,DFW,ATL,CA,2023-01-07
AC708854,HAM,OSL,AC,2023-01-07
CZ103815,BHX,MAD,CZ,2023-01-07
VN626639,EZE,HAN,VN,2023-01-07
AR872858,GIG,GUA,AR,2023-01-07
MS557385,ICN,PTY,MS,2023-01-07
PC954453,HAV,DOH,PC,2023-01-07
AM759731,SCL,LPL,AM,2023-01-07
MK231338,IST,WLG,MK,2023-01-07
AV988382,OSL,BER,AV,2023-01-07
EK547654,ZRH,STR,EK,2023-01-07
VA032318,MEX,MUC,VA,2023-01-07
F9672051,JNB,SCL,F9,2023-01-07
NZ832120,GLA,LEJ,NZ,2023-01-07
WB434759,CWL,PTY,WB,2023-01-07
EW730500,MNL,LHR,EW,2023-01-07
AR352050,WAW,SCL,AR,2023-01-07
VY872912,HAM,CDG,VY,2023-01-07
H2537671,FCO,EDI,H2,2023-01-07
GF314347,CWL,LBA,GF,2023-01-07
AA569864,IST,BKK,AA,2023-01-07
GF642522,BOM,TLS,GF,2023-01-07
AC085024,MUC,LIS,AC,2023-01-08
MU214326,ZRH,SDQ,MU,2023-01-08
GA814198,BSL,MAN,GA,2023-01-08
ME224613,SDQ,NBO,ME,2023-01-08
UA162284,HAM,LHR,UA,2023-01-08
U2012051,BRS,STR,U2,2023-01-08
WB791451,BSB,HAJ,WB,2023-01-08
WB379046,CPH,DEN,WB,2023-01-08
UK621862,GLA,VIE,UK,2023-01-08
PR402870,BUD,TLS,PR,2023-01-08
NZ451354,KIN,LEJ,NZ,2023-01-08
FI308064,CDG,SGN,FI,2023-01-08
Y4260184,DEN,SIN,Y4,2023-01-08
AD999421,YYZ,JNB,AD,2023-01-08
EY418656,SIN,HKG,EY,2023-01-08
WS187609,LYS,AKL,WS,2023-01-08
SG332163,GUA,NUE,SG,2023-01-08
CA072852,CAI,CGK,CA,2023-01-08
UK655517,SJO,BHX,UK,2023-01-08
MK648183,DXB,BSL,MK,2023-01-09
IB570978,STR,DEN,IB,2023-01-09
OS320734,GIG,MXP,OS,2023-01-09
QR353337,TLS,MUC,QR,2023-01-09
NZ448729,FRA,YYZ,NZ,2023-01-09
OS685427,HAJ,MAD,OS,2023-01-09
EK497931,ZRH,HAM,EK,2023-01-09
AR978634,HAN,BHX,AR,2023-01-09
KQ220797,ORD,LIM,KQ,2023-01-09
A3389080,DOH,CGN,A3,2023-01-09
TR737515,NUE,HAV,TR,2023-01-09
PR677708,CAI,HAN,PR,2023-01-10
JU871409,BSB,NTE,JU,2023-01-10
TK505502,DEN,HAV,TK,2023-01-10
TP174398,ICN,BRU,TP,2023-01-10
NK952975,ZRH,CGK,NK,2023-01-10
AY617156,PEK,ZRH,AY,2023-01-10
GF664270,BUD,NBO,GF,2023-01-10
G3340393,SYD,BFS,G3,2023-01-10
TK266030,LEJ,MUC,TK,2023-01-10
VS089753,ORD,AMS,VS,2023-01-10
AA363495,LIM,GVA,AA,2023-01-10
MK299419,AKL,ATL,MK,2023-01-10
KQ399195,SIN,MRS,KQ,2023-01-10
IB936087,HAN,NCL,IB,2023-01-10
PR903904,WLG,NCE,PR,2023-01-10
SK785305,HAV,SYD,SK,2023-01-10
LA017323,BFS,MUC,LA,2023-01-10
LX544548,HAJ,HEL,LX,2023-01-10
TP550239,PUJ,BOM,TP,2023-01-10
QF368988,BER,YYZ,QF,2023-01-10
6E601362,MAD,DUS,6E,2023-01-10
KC936276,MXP,CHC,KC,2023-01-10
MH648677,ATL,SJO,MH,2023-01-10
VS579745,PRG,MAD,VS,2023-01-11
PC682219,ATL,CPT,PC,2023-01-11
DL032149,LBA,NAS,DL,2023-01-11
DL372032,MNL,GRU,DL,2023-01-11
SK958707,DXB,YYZ,SK,2023-01-11
AA179568,DUS,MXP,AA,2023-01-11
JL961051,HAM,PUJ,JL,2023-01-11
TP532430,LAX,BSB,TP,2023-01-11
AA129362,PEK,HKG,AA,2023-01-11
AC518945,CGK,SIN,AC,2023-01-11
SV489852,KIN,CPT,SV,2023-01-11
MU147425,CWL,GVA,MU,2023-01-11
KM805169,CPT,EDI,KM,2023-01-11
CZ011016,POS,SGN,CZ,2023-01-11
WN960580,PEK,GVA,WN,2023-01-11
GF541466,MUC,MRS,GF,2023-01-11
LA721906,EZE,CPH,LA,2023-01-11
MH973301,NUE,HEL,MH,2023-01-11
G3806190,ICN,GRU,G3,2023-01-12
ET992042,LHR,DUS,ET,2023-01-12
AT968480,STR,ICN,AT,2023-01-12
KL819199,OSL,CDG,KL,2023-01-12
QF076701,EDI,CAI,QF,2023-01-12
LO321085,HND,NCL,LO,2023-01-12
PX791874,HKG,BCN,PX,2023-01-12
UL981877,POS,BUD,UL,2023-01-12
WY301651,MAN,HEL,WY,2023-01-12
