flight_number,Departure_IATA,Arrival_IATA,Airline_IATA,flight_date
AR6585,CGK,GLA,AR,2023-05-19
JL3459,HAM,ATL,JL,2023-10-30
LA673,HAN,LAX,LA,2023-05-21
F93365,BKK,POS,F9,2023-11-01
AV7577,GVA,YYZ,AV,2023-03-26
PX2866,CGK,SCL,PX,2023-09-28
TS7798,AKL,BFS,TS,2023-05-03
W66511,YYZ,BER,W6,2023-06-26
EI3491,DXB,CAI,EI,2023-08-17
AI8230,ZRH,BHX,AI,2023-07-31
UK3037,LIS,LHR,UK,2023-07-06
GF1676,CWL,CDG,GF,2023-07-11
HU9621,ZRH,BKK,HU,2023-09-24
JT8796,WLG,HKG,JT,2023-04-14
AT6415,CDG,BOD,AT,2023-03-31
NK197,LIS,KEF,NK,2023-02-19
NH6625,ORD,MEL,NH,2023-12-07
KQ2571,BER,HAV,KQ,2023-06-18
DT6711,HEL,CDG,DT,2023-11-17
EY1827,CAI,BRU,EY,2023-02-08
PC9333,ATL,CWL,PC,2023-09-16
G34766,NCL,NBO,G3,2023-06-03
PC5409,HAM,ZRH,PC,2023-07-28
AR3113,BRU,MRS,AR,2023-01-13
IB7252,SCL,MAN,IB,2023-06-05
KM6181,CPH,LPL,KM,2023-09-22
KC9291,MEX,WAW,KC,2023-11-07
SA3175,CGN,NAS,SA,2023-01-03
SQ4988,NCL,GIG,SQ,2023-09-11
HX3066,NCE,GLA,HX,2023-06-28
CA9266,SJO,LIM,CA,2023-03-09
WB7770,LBA,NCE,WB,2023-05-25
PX557,HND,SAL,PX,2023-11-12
RJ5403,BUD,HEL,RJ,2023-12-08
VB5244,VIE,LYS,VB,2023-01-05
EI2389,CPT,PEK,EI,2023-03-01
WB4226,BSB,DEL,WB,2023-12-02
A33126,GUA,CPH,A3,2023-11-06
H28633,SJO,LYS,H2,2023-02-13
NZ5531,HEL,BKK,NZ,2023-03-03
EW359,CAI,SAL,EW,2023-03-09
UK1537,LIM,CAI,UK,2023-03-21
NZ8151,YYZ,LPL,NZ,2023-08-06
W6799,SCL,BFS,W6,2023-01-30
IB3299,ATL,CPH,IB,2023-08-20
NH470,ICN,NTE,NH,2023-11-08
F93275,MNL,DUB,F9,2023-01-16
SV6910,MAN,CDG,SV,2023-03-07
AF9121,HAN,MUC,AF,2023-05-20
MH211,CWL,SGN,MH,2023-05-08
CX8745,NTE,BOG,CX,2023-01-07
EY9749,STR,FRA,EY,2023-08-07
6E9624,CGK,LPL,6E,2023-02-16
TP4219,MXP,CPH,TP,2023-02-03
U21866,VIE,NAS,U2,2023-01-28
LO5434,DUS,NAS,LO,2023-08-22
ME9795,CDG,HND,ME,2023-09-29
G31782,ORD,BSL,G3,2023-09-05
OB2981,KEF,CPH,OB,2023-08-07
Y43299,BOD,GLA,Y4,2023-06-22
GA8278,CDG,ARN,GA,2023-11-28
DL7194,ATH,STR,DL,2023-04-15
MU8509,DOH,PRG,MU,2023-04-09
KM5082,NBO,LYS,KM,2023-02-23
VB9990,MBJ,LEJ,VB,2023-12-21
B6560,SGN,MUC,B6,2023-04-03
CA1685,JNB,HKG,CA,2023-08-28
AC7236,SIN,CAI,AC,2023-05-25
KU836,BOD,ATH,KU,2023-04-01
LA1057,LIS,SGN,LA,2023-09-25
GF6970,LHR,ICN,GF,2023-04-06
RO434,MBJ,PTY,RO,2023-05-22
AC9054,NBO,MEL,AC,2023-10-22
AY4565,NAS,CHC,AY,2023-10-25
VS5271,PRG,NUE,VS,2023-04-09
KL7555,SDQ,AMS,KL,2023-02-21
VB3706,MEL,LYS,VB,2023-02-28
IB2619,SIN,PRG,IB,2023-01-05
TU8195,ZRH,BOG,TU,2023-09-02
FI1604,BCN,VIE,FI,2023-11-24
JU3589,ATL,EDI,JU,2023-01-09
AR4337,AMS,HAV,AR,2023-11-23
EW665,SGN,BKK,EW,2023-10-06
NZ4826,MBJ,SAL,NZ,2023-03-01
6E1268,BOM,MBJ,6E,2023-12-29
KM853,MBJ,EZE,KM,2023-01-12
JU3584,PRG,WLG,JU,2023-10-12
AH8775,LIM,GLA,AH,2023-08-20
SG1573,SCL,POS,SG,2023-02-19
FJ2512,FCO,PEK,FJ,2023-11-21
VB6440,BOM,DFW,VB,2023-12-12
AM9695,LPL,LHR,AM,2023-02-20
