Departure_IATA,Arrival_IATA,Airline_IATA,Flight_Date,Flight_Number
LIS,X232,SV,2025-06-11,SV9939
X108,X213,IB,2025-10-28,IB5337
X301,X121,TS,2025-08-07,TS8161
X330,X102,WN,2025-12-02,WN805
X153,X162,B6,2025-09-05,B66442
MEL,X328,SQ,2025-04-26,SQ7923
X272,X230,NZ,2025-11-18,NZ7858
X232,NTE,SQ,2025-04-06,SQ3460
BSB,X307,FZ,2025-10-14,FZ5853
X207,X115,DL,2025-01-13,DL3911
X105,X254,WN,2025-12-01,WN7527
X114,X233,WB,2025-01-02,WB5448
X128,SDQ,BT,2025-06-27,BT8829
X293,ATL,CX,2025-10-22,CX6339
X330,BOM,MS,2025-09-09,MS1438
MAD,X330,VB,2025-08-14,VB6317
X153,X224,H2,2025-03-02,H25074
NTE,X285,J2,2025-04-15,J24235
EDI,HAV,J2,2025-02-18,J25018
FRA,X338,UA,2025-05-15,UA7930
X328,X202,QF,2025-12-17,QF2628
X250,ATH,UL,2025-05-25,UL8156
X335,X106,JA,2025-03-31,JA3713
X343,X319,UL,2025-05-26,UL6993
X105,X322,QF,2025-03-30,QF8720
BHX,X116,HY,2025-12-06,HY9660
X193,CAI,MS,2025-01-04,MS5336
X344,NTE,CZ,2025-07-06,CZ6744
X282,BOM,LH,2025-06-01,LH4253
LPL,TLS,EK,2025-02-06,EK6546
CDG,X207,TR,2025-01-04,TR9768
X124,BOM,B6,2025-04-15,B69345
X234,X220,EI,2025-02-05,EI1385
SAL,X162,ET,2025-05-20,ET4455
X308,X162,VS,2025-01-23,VS1943
X243,X125,BA,2025-11-04,BA406
X156,ZRH,UL,2025-06-25,UL672
X133,LIM,BT,2025-04-17,BT5696
X212,X345,ET,2025-08-27,ET2020
EZE,X142,JL,2025-02-18,JL4816
X107,X325,QH,2025-07-03,QH8136
IST,X245,EI,2025-08-06,EI8521
AKL,X324,QH,2025-10-03,QH6592
SAL,X129,RO,2025-05-17,RO9061
X151,X232,AT,2025-02-01,AT7276
X166,X302,SK,2025-06-28,SK4709
X326,BFS,QH,2025-04-11,QH513
GLA,X243,G3,2025-08-11,G38096
LHR,X150,QH,2025-09-08,QH2394
X169,X306,UK,2025-12-14,UK3038
HAJ,X242,KL,2025-03-28,KL453
X343,CGN,LO,2025-01-23,LO1321
ZRH,X288,KU,2025-01-16,KU1989
X343,PEK,AR,2025-04-20,AR7450
X267,X282,MH,2025-05-04,MH8359
BHX,BFS,H2,2025-11-27,H24249
LHR,BUD,VS,2025-12-08,VS2681
ARN,X289,TG,2025-07-25,TG7525
X181,ATL,SA,2025-03-18,SA1506
X229,X220,NZ,2025-02-14,NZ7507
X346,X288,AD,2025-06-15,AD5347
X188,X119,TS,2025-02-08,TS9323
X162,X274,VY,2025-11-01,VY5159
MUC,X333,ME,2025-06-09,ME2131
X132,X275,SV,2025-06-15,SV387
X164,X336,6E,2025-05-02,6E7577
X205,ICN,UL,2025-11-17,UL2012
X220,X324,AD,2025-02-25,AD2852
X296,PEK,UA,2025-12-30,UA3686
X167,X308,WS,2025-01-10,WS102
X330,X132,MS,2025-10-18,MS3014
X263,HAN,MK,2025-12-06,MK4684
CHC,X343,AR,2025-12-09,AR3241
X156,STR,MK,2025-02-14,MK642
X103,X108,AA,2025-05-08,AA9418
X237,X194,6E,2025-08-26,6E233
X152,X126,NZ,2025-06-11,NZ1790
X128,NUE,U2,2025-10-18,U22023
X236,X128,W6,2025-12-11,W69161
PEK,X220,G3,2025-11-11,G38188
X180,X300,LO,2025-11-23,LO3132
X233,X311,W6,2025-04-13,W63779
X319,X255,FR,2025-05-08,FR5392
SYD,X134,RJ,2025-03-27,RJ1932
X151,X215,NH,2025-02-06,NH1468
X134,X349,UA,2025-10-27,UA6152
X108,X311,H2,2025-07-06,H23037
X221,X290,EW,2025-05-22,EW2093
X151,HEL,GA,2025-10-17,GA4394
X175,X309,OS,2025-08-06,OS7123
X300,X247,QF,2025-05-25,QF3262
X279,X291,DT,2025-08-07,DT1168
X190,X132,SA,2025-10-28,SA5231
X125,X259,JL,2025-07-07,JL3738
X158,X333,EW,2025-04-03,EW3024
X291,BFS,KU,2025-05-18,KU3825
LIS,X302,QR,2025-12-14,QR6179
X252,X209,JA,2025-10-05,JA7371
X346,ATH,BT,2025-07-06,BT3316
X265,SYD,AA,2025-04-18,AA5215
X248,SAL,EI,2025-03-31,EI8799
X210,X116,QH,2025-10-25,QH4707
CDG,X158,VB,2025-01-16,VB5679
X187,ARN,TP,2025-01-10,TP8716
NBO,X219,VB,2025-11-04,VB7065
X280,X252,DT,2025-08-16,DT2116
X262,X275,DT,2025-06-21,DT2637
SAL,X176,QF,2025-06-27,QF450
X302,X218,KU,2025-12-09,KU6138
X140,X099,TP,2025-03-23,TP1534
SCL,X280,KU,2025-07-09,KU832
BFS,X163,TP,2025-07-26,TP2836
X300,X252,DL,2025-10-14,DL9680
X114,X278,JA,2025-12-14,JA8875
X271,X320,AS,2025-07-31,AS2501
X296,X306,WB,2025-10-20,WB9617
X231,NBO,EY,2025-12-09,EY8110
X141,X248,MS,2025-12-07,MS2404
X134,X194,VB,2025-06-05,VB7271
X141,X328,LA,2025-11-13,LA491
X103,X248,Y4,2025-08-08,Y42235
X107,FCO,VB,2025-12-17,VB5839
X214,X218,SQ,2025-03-21,SQ5517
X160,X312,KM,2025-04-18,KM9932
SIN,X133,LX,2025-08-07,LX1002
X103,CPT,KU,2025-12-24,KU7720
MEL,X339,TK,2025-12-14,TK7237
X111,X348,AR,2025-09-03,AR4190
PEK,X212,AR,2025-08-05,AR5166
X264,X189,KQ,2025-02-19,KQ9292
LIM,X320,Y4,2025-02-08,Y49117
ATL,X207,Y4,2025-01-23,Y42669
CPH,CGN,KU,2025-07-06,KU7078
X214,AMS,LH,2025-10-17,LH5970
X197,AKL,CA,2025-05-25,CA9228
X102,X112,CZ,2025-08-08,CZ7190
NTE,PTY,BA,2025-12-09,BA7524
X171,LIS,AC,2025-10-07,AC7455
X133,BCN,LH,2025-05-10,LH3744
X293,X350,VB,2025-07-28,VB9384
X229,X132,MU,2025-09-19,MU7959
X277,X140,LH,2025-01-27,LH7439
X258,X134,FR,2025-07-28,FR9119
X101,X164,J2,2025-07-26,J27890
X173,X184,CX,2025-10-10,CX5511
BSB,X346,AY,2025-08-27,AY9468
X285,X170,DL,2025-11-13,DL2340
X216,LIS,CZ,2025-08-15,CZ7854
X214,X147,FR,2025-05-15,FR3520
X103,X249,FZ,2025-08-25,FZ2640
X231,X181,WB,2025-09-22,WB3014
BOD,X340,AV,2025-07-25,AV6226
X186,X272,AM,2025-02-26,AM9766
BER,X297,FJ,2025-12-04,FJ2247
PEK,X133,WN,2025-02-24,WN3350
ARN,X224,W6,2025-01-14,W63812
X160,X169,TK,2025-03-07,TK1635
CDG,X171,DL,2025-10-27,DL8119
X169,X208,RJ,2025-07-04,RJ4158
X141,BER,AC,2025-03-11,AC1248
X266,X179,ME,2025-06-08,ME3687
X145,X144,CX,2025-07-13,CX6697
X318,X301,PX,2025-02-16,PX6728
X155,X141,HY,2025-03-28,HY9387
X253,SIN,SK,2025-12-21,SK6098
X099,BSL,EW,2025-12-03,EW6808
X144,X189,DT,2025-10-20,DT3358
X156,X298,MS,2025-01-12,MS2847
X124,X153,AY,2025-11-27,AY6889
X343,X175,VY,2025-05-13,VY7232
X304,HAJ,UA,2025-07-08,UA2749
X153,X148,A3,2025-10-23,A32128
X204,FRA,WN,2025-03-10,WN343
X259,X256,AH,2025-06-23,AH2113
X292,CWL,TS,2025-08-22,TS1179
