baggage_code,type,colour,brand
29,Lap Top/Overnight bag,Black,Victorinox
05,Horizontal design suitcase Expandable,Beige,Samsonite
22R,Upright design hard material,Pattern,Samsonite
22,"Upright design, soft material",Yellow,Travelpro
03,Horizontal design suitcase Non-expandable,Beige,Tumi
26,Expandable upright,White/Clear,Briggs & Riley
22,"Upright design, soft material",Red,Victorinox
06,Briefcase,Red,Delsey
02,Upright design,Purple,Travelpro
22D,Upright design combined hard and soft material,Pattern,American Tourister
03,Horizontal design suitcase Non-expandable,Pattern,Victorinox
01,Horizontal design Hard Shell,White/Clear,Samsonite
29,Lap Top/Overnight bag,White/Clear,Travelpro
22R,Upright design hard material,Green,Victorinox
20,Closes with zippers Types 20-29,Green,Samsonite
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Tumi
26,Expandable upright,Red,Victorinox
02,Upright design,Pattern,Samsonite
05,Horizontal design suitcase Expandable,Grey,Travelpro
28,Backpack/Rucksack,Multi-Coloured,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Brown,Travelpro
06,Briefcase,White/Clear,American Tourister
29,Lap Top/Overnight bag,Red,Briggs & Riley
26,Expandable upright,Black,Travelpro
22D,Upright design combined hard and soft material,Green,Delsey
20,Closes with zippers Types 20-29,Beige,Samsonite
22R,Upright design hard material,Beige,American Tourister
22D,Upright design combined hard and soft material,Pattern,Travelpro
20,Closes with zippers Types 20-29,Yellow,Briggs & Riley
07,Document Case,Yellow,Travelpro
23,Horizontal design suitcase,Blue,Victorinox
07,Document Case,Brown,Delsey
25,Duffel/Sport Bag,Grey,Tumi
22,"Upright design, soft material",Green,Tumi
22R,Upright design hard material,Purple,Delsey
23,Horizontal design suitcase,Purple,Briggs & Riley
01,Horizontal design Hard Shell,Brown,Travelpro
22D,Upright design combined hard and soft material,Grey,Briggs & Riley
26,Expandable upright,Pattern,Victorinox
06,Briefcase,Grey,American Tourister
29,Lap Top/Overnight bag,Purple,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Brown,Briggs & Riley
22D,Upright design combined hard and soft material,Beige,Victorinox
01,Horizontal design Hard Shell,Beige,Samsonite
29,Lap Top/Overnight bag,Beige,Victorinox
02,Upright design,Pattern,Samsonite
20,Closes with zippers Types 20-29,Grey,American Tourister
20,Closes with zippers Types 20-29,Black,Travelpro
02,Upright design,White/Clear,Delsey
20,Closes with zippers Types 20-29,Beige,Travelpro
07,Document Case,Beige,Delsey
22D,Upright design combined hard and soft material,White/Clear,Travelpro
05,Horizontal design suitcase Expandable,Multi-Coloured,Samsonite
20,Closes with zippers Types 20-29,Blue,Samsonite
02,Upright design,Yellow,Briggs & Riley
22,"Upright design, soft material",Brown,Delsey
26,Expandable upright,Beige,Briggs & Riley
22D,Upright design combined hard and soft material,Beige,Victorinox
22R,Upright design hard material,Pattern,Tumi
07,Document Case,Yellow,Samsonite
22R,Upright design hard material,Purple,Briggs & Riley
27,Matted woven bag,Black,Victorinox
23,Horizontal design suitcase,Yellow,Delsey
06,Briefcase,Yellow,Samsonite
22D,Upright design combined hard and soft material,Red,Delsey
06,Briefcase,Blue,Samsonite
06,Briefcase,Grey,Tumi
22D,Upright design combined hard and soft material,Pattern,Samsonite
06,Briefcase,Grey,Delsey
07,Document Case,Green,Victorinox
27,Matted woven bag,Beige,Tumi
20,Closes with zippers Types 20-29,White/Clear,Travelpro
22,"Upright design, soft material",Green,American Tourister
07,Document Case,Multi-Coloured,Tumi
06,Briefcase,Purple,Delsey
07,Document Case,Yellow,Delsey
05,Horizontal design suitcase Expandable,Grey,Delsey
25,Duffel/Sport Bag,Grey,Travelpro
06,Briefcase,Purple,Victorinox
07,Document Case,White/Clear,American Tourister
02,Upright design,Multi-Coloured,Travelpro
22D,Upright design combined hard and soft material,Brown,Tumi
02,Upright design,Green,Delsey
25,Duffel/Sport Bag,Black,American Tourister
03,Horizontal design suitcase Non-expandable,Blue,Samsonite
25,Duffel/Sport Bag,Brown,Samsonite
