baggage_code,type,colour,brand
07,Document Case,Blue,Delsey
01,Horizontal design Hard Shell,Yellow,Samsonite
02,Upright design,White/Clear,American Tourister
29,Lap Top/Overnight bag,Yellow,Samsonite
28,Backpack/Rucksack,Green,Victorinox
02,Upright design,Purple,Travelpro
25,Duffel/Sport Bag,Multi-Coloured,Tumi
23,Horizontal design suitcase,Brown,Travelpro
28,Backpack/Rucksack,Grey,Briggs & Riley
01,Horizontal design Hard Shell,Purple,Briggs & Riley
29,Lap Top/Overnight bag,White/Clear,Delsey
03,Horizontal design suitcase Non-expandable,Purple,Delsey
27,Matted woven bag,Blue,Victorinox
22R,Upright design hard material,Black,Tumi
26,Expandable upright,Black,Victorinox
20,Closes with zippers Types 20-29,Green,Delsey
06,Briefcase,Black,Delsey
05,Horizontal design suitcase Expandable,Multi-Coloured,American Tourister
27,Matted woven bag,Green,American Tourister
29,Lap Top/Overnight bag,Pattern,Delsey
25,Duffel/Sport Bag,Blue,Victorinox
23,Horizontal design suitcase,Pattern,Tumi
29,Lap Top/Overnight bag,Blue,Victorinox
07,Document Case,Blue,Victorinox
06,Briefcase,White/Clear,Victorinox
22D,Upright design combined hard and soft material,Pattern,Samsonite
22,"Upright design, soft material",Purple,American Tourister
02,Upright design,Multi-Coloured,Victorinox
03,Horizontal design suitcase Non-expandable,Purple,Tumi
29,Lap Top/Overnight bag,Pattern,Briggs & Riley
23,Horizontal design suitcase,Yellow,Tumi
26,Expandable upright,Red,Tumi
06,Briefcase,Purple,Samsonite
05,Horizontal design suitcase Expandable,Pattern,American Tourister
05,Horizontal design suitcase Expandable,Black,Tumi
25,Duffel/Sport Bag,Beige,Tumi
05,Horizontal design suitcase Expandable,Red,Briggs & Riley
06,Briefcase,Pattern,Tumi
26,Expandable upright,Purple,Delsey
27,Matted woven bag,Brown,Delsey
23,Horizontal design suitcase,Grey,Victorinox
06,Briefcase,Multi-Coloured,Tumi
22R,Upright design hard material,Blue,American Tourister
26,Expandable upright,Pattern,American Tourister
25,Duffel/Sport Bag,Yellow,American Tourister
20,Closes with zippers Types 20-29,Blue,Delsey
05,Horizontal design suitcase Expandable,Purple,Delsey
02,Upright design,White/Clear,Briggs & Riley
05,Horizontal design suitcase Expandable,Yellow,Delsey
22,"Upright design, soft material",Yellow,Travelpro
20,Closes with zippers Types 20-29,Yellow,Delsey
23,Horizontal design suitcase,Grey,Tumi
03,Horizontal design suitcase Non-expandable,Black,American Tourister
26,Expandable upright,Multi-Coloured,Travelpro
22R,Upright design hard material,Pattern,American Tourister
23,Horizontal design suitcase,Brown,Tumi
03,Horizontal design suitcase Non-expandable,Green,Travelpro
05,Horizontal design suitcase Expandable,Beige,Delsey
20,Closes with zippers Types 20-29,Yellow,Tumi
06,Briefcase,Blue,Delsey
27,Matted woven bag,Grey,Victorinox
28,Backpack/Rucksack,Beige,Victorinox
28,Backpack/Rucksack,Green,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Blue,Briggs & Riley
07,Document Case,Red,Tumi
29,Lap Top/Overnight bag,Beige,Delsey
02,Upright design,Blue,Tumi
22,"Upright design, soft material",Black,Victorinox
03,Horizontal design suitcase Non-expandable,Blue,Samsonite
20,Closes with zippers Types 20-29,Yellow,Briggs & Riley
06,Briefcase,Blue,Samsonite
01,Horizontal design Hard Shell,Brown,Samsonite
29,Lap Top/Overnight bag,White/Clear,American Tourister
